net_name	config_key	filename	clustering_score	total_number_edges	edge_overlap	net_size	overlap_percent	reverse_overlap_percent	dataset	config_dir	n_clusters
net_75_10306	netmap_config_1	clustering_score_leiden.json		58564	175	175	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_90_11013	netmap_config_1	clustering_score_leiden.json		58564	216	216	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_75_10306	netmap_config_2	clustering_score_leiden.json		58564	175	175	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_90_11013	netmap_config_2	clustering_score_leiden.json		58564	216	216	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_75_10306	netmap_config_3	clustering_score_leiden.json		58564	175	175	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_90_11013	netmap_config_3	clustering_score_leiden.json		58564	216	216	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_75_10306	netmap_config_4	clustering_score_leiden.json		58564	175	175	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_90_11013	netmap_config_4	clustering_score_leiden.json		58564	216	216	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_75_10306	netmap_config_5	clustering_score_leiden.json		58564	175	175	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_90_11013	netmap_config_5	clustering_score_leiden.json		58564	216	216	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_75_10306	netmap_config_6	clustering_score_leiden.json		58564	175	175	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_90_11013	netmap_config_6	clustering_score_leiden.json		58564	216	216	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
net_75_10306	netmap_config_7	clustering_score_leiden.json	0.5	58564	175	175	1.0	1.0	net_90_11013_net_75_10306_net_77_11506	config_easy	2
