percentage_recovered	tp	gs_count	pp	type	grn	net	config	dataset	top_perc
0.1938775510204081	19	98	16787	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.25
0.3469387755102041	34	98	33574	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.5
0.3469387755102041	34	98	33767	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	0.75
0.3469387755102041	34	98	33767	on_target	1	1	grnboost2_config	net_172_10626_net_89_11634_net_76_10367	1.0
0.00418410041841	1	239	38	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.001
0.0209205020920502	5	239	382	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.01
0.0836820083682008	20	239	1912	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.05
0.1966527196652719	47	239	3824	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.1
0.3347280334728033	80	239	7649	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.2
0.4142259414225941	99	239	9561	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.25
0.698744769874477	167	239	18982	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.5
0.698744769874477	167	239	18982	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.75
0.698744769874477	167	239	18982	on_target	0	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	1.0
0.0	0	98	38	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.001
0.0306122448979591	3	98	382	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.01
0.2346938775510204	23	98	1912	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.05
0.3163265306122449	31	98	3824	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.1
0.5102040816326531	50	98	7649	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.2
0.6020408163265306	59	98	9561	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.25
0.7959183673469388	78	98	18982	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.5
0.7959183673469388	78	98	18982	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.75
0.7959183673469388	78	98	18982	off_target	0	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	1.0
0.00418410041841	1	239	38	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.001
0.0376569037656903	9	239	382	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.01
0.1380753138075313	33	239	1912	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.05
0.2887029288702928	69	239	3824	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.1
0.4476987447698745	107	239	7649	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.2
0.5355648535564853	128	239	9561	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.25
0.8577405857740585	205	239	19122	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.5
0.8619246861924686	206	239	19262	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.75
0.8619246861924686	206	239	19262	off_target	1	0	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	1.0
0.0	0	98	38	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.001
0.0306122448979591	3	98	382	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.01
0.0918367346938775	9	98	1912	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.05
0.1530612244897959	15	98	3824	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.1
0.2857142857142857	28	98	7649	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.2
0.3163265306122449	31	98	9561	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.25
0.6632653061224489	65	98	19122	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.5
0.673469387755102	66	98	19262	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	0.75
0.673469387755102	66	98	19262	on_target	1	1	grnboost2_config_2	net_172_10626_net_89_11634_net_76_10367	1.0
0.0	0	104	36	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.001
0.0288461538461538	3	104	363	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.01
0.1346153846153846	14	104	1814	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.05
0.2884615384615384	30	104	3628	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.1
0.4423076923076923	46	104	7256	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.2
0.4519230769230769	47	104	9070	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.25
0.5673076923076923	59	104	17857	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.5
0.5673076923076923	59	104	17857	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.75
0.5673076923076923	59	104	17857	on_target	0	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	1.0
0.0	0	71	36	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.001
0.0	0	71	363	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.01
0.0845070422535211	6	71	1814	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.05
0.1830985915492957	13	71	3628	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.1
0.3098591549295774	22	71	7256	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.2
0.3943661971830985	28	71	9070	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.25
0.6901408450704225	49	71	17857	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.5
0.6901408450704225	49	71	17857	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.75
0.6901408450704225	49	71	17857	off_target	0	1	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	1.0
0.0	0	104	36	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.001
0.0192307692307692	2	104	363	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.01
0.0769230769230769	8	104	1814	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.05
0.1057692307692307	11	104	3628	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.1
0.1923076923076923	20	104	7256	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.2
0.2115384615384615	22	104	9070	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.25
0.4230769230769231	44	104	18139	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.5
0.4423076923076923	46	104	18421	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	0.75
0.4423076923076923	46	104	18421	off_target	1	0	grnboost2_config	net_60_10082_net_64_11307_net_84_11226	1.0
